Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 88.0.4324.96,,,2021-01-28 17:05:44,2021-01-28 17:06:46,1m - 2.626s,PASSED
,,,,,,,
Test Cases/Register,Chrome 88.0.4324.96,,,2021-01-28 17:05:45,2021-01-28 17:06:07,22.043s,PASSED
"runFeatureFile(""Include/features/Register/Register-success.feature"")",Chrome 88.0.4324.96,,,2021-01-28 17:05:46,2021-01-28 17:06:07,21.374s,PASSED
,,,,,,,
Test Cases/Login,Chrome 88.0.4324.96,,,2021-01-28 17:06:07,2021-01-28 17:06:21,13.402s,PASSED
"runFeatureFile(""Include/features/login/Login-success.feature"")",Chrome 88.0.4324.96,,,2021-01-28 17:06:07,2021-01-28 17:06:21,13.178s,PASSED
,,,,,,,
Test Cases/Add Contact_Delete Contact,Chrome 88.0.4324.96,,,2021-01-28 17:06:21,2021-01-28 17:06:39,18.486s,PASSED
"runFeatureFile(""Include/features/Add_Contact/AddContact.feature"")",Chrome 88.0.4324.96,,,2021-01-28 17:06:21,2021-01-28 17:06:32,11.013s,PASSED
"runFeatureFile(""Include/features/Add_Contact/DeleteContact.feature"")",Chrome 88.0.4324.96,,,2021-01-28 17:06:32,2021-01-28 17:06:39,7.242s,PASSED
,,,,,,,
Test Cases/Verify Existing Contacts,Chrome 88.0.4324.96,,,2021-01-28 17:06:39,2021-01-28 17:06:46,7.084s,PASSED
"runFeatureFile(""Include/features/VerifyContacts/VerifyContacts.feature"")",Chrome 88.0.4324.96,,,2021-01-28 17:06:39,2021-01-28 17:06:46,6.885s,PASSED
